ID,Name,Industry,Services,Stage,Location,Mentor Availability,Partnerships,Funding Support,Funds Available
1,Incubator_1,SaaS,Workspace,Series B,Assam,No,10,Yes,Multisectoral Support for Entrepreneurs (MUDRA Yojana)
2,Incubator_2,TravelTech,Mentoring,Series A,Sikkim,No,8,Yes,Support for International Patent Protection in Electronics and Information Technology (SIP-EIT)
3,Incubator_3,Fintech,Mentoring,Seed,Haryana,Yes,9,Yes,Technology Development Programme (TDP)
4,Incubator_4,MediaTech,Networking,Series A,Karnataka,No,5,Yes,Electronics Development Fund (EDF)
5,Incubator_5,Fintech,Workspace,Series C,Uttarakhand,Yes,14,Yes,National Skill Development Initiative
6,Incubator_6,AI,Networking,Series A,Goa,No,20,Yes,Electronics Development Fund (EDF)
7,Incubator_7,Robotics,Networking,Pre Seed,Kerala,No,8,No,Fund of Funds for Startups (FFS)
8,Incubator_8,AI,Networking,Seed,Haryana,No,2,Yes,SIDBI Make in India Loan for Enterprises (SMILE)
9,Incubator_9,Biotech,Funding Support,Series C,Andhra Pradesh,Yes,5,No,"ASPIRE - A Scheme for Promotion of Innovation, Rural Industries, and Entrepreneurship"
10,Incubator_10,Fintech,Funding Support,Seed,Arunachal Pradesh,No,10,Yes,Stand-Up India Scheme
11,Incubator_11,CleanTech,Networking,Series C,Rajasthan,Yes,3,No,SIDBI Make in India Loan for Enterprises (SMILE)
12,Incubator_12,Gaming,Workspace,Series A,Punjab,Yes,6,Yes,Electronics Development Fund (EDF)
13,Incubator_13,E-commerce,Mentoring,Series A,Kerala,No,8,Yes,SIDBI Make in India Loan for Enterprises (SMILE)
14,Incubator_14,Logistics,Mentoring,Pre Seed,Uttarakhand,Yes,16,Yes,National Skill Development Initiative
15,Incubator_15,Biotech,Mentoring,Series A,Karnataka,No,4,Yes,Atal Innovation Mission (AIM)
16,Incubator_16,EdTech,Funding Support,Pre Seed,Meghalaya,Yes,16,Yes,National Initiative for Developing and Harnessing Innovations 
